id,email,country,signup_date,status,last_seen,referral_code,phone_prefix,last_seen_future,phone_prefix_raw,phone_missing,status_missing,status_anomaly,is_duplicate_email,has_referral
1,user_1@yahoo.fr,IT,2021-04-28 14:23:00+00:00,1,2021-09-02 21:26:47+00:00,,+39,0,+39,0,0,0,0,0
2,user_2@gmail.com,CH,2022-09-01 06:49:44+00:00,0,2023-01-05 17:03:20+00:00,,+41,0,+41,0,0,0,0,0
3,user_3@outlook.com,BE,2020-03-21 04:34:57+00:00,1,2021-07-30 05:38:37+00:00,27cb14dc,+32,0,+32,0,0,0,0,1
4,user_4@hotmail.com,DE,2020-07-13 23:53:58+00:00,0,2024-06-10 09:06:04+00:00,,+49,0,+49,0,0,0,0,0
5,user_5@outlook.com,DE,2020-07-21 08:54:00+00:00,0,2026-03-06 20:16:50+00:00,,+49,0,+49,0,0,0,0,0
6,user_6@free.fr,,2023-09-03 18:54:13+00:00,1,2024-01-29 05:53:30+00:00,df55f8c3,,0,,1,0,0,0,1
7,user_7@gmail.com,IT,2024-11-25 09:10:59+00:00,1,2025-05-14 23:06:23+00:00,,+39,0,+39,0,0,0,0,0
8,user_8@hotmail.com,,2022-03-11 16:05:01+00:00,0,2023-09-29 23:22:32+00:00,,,0,,1,0,0,0,0
9,user_9@yahoo.fr,CH,2025-02-15 23:22:07+00:00,0,2025-12-23 04:44:01+00:00,42f93753,+41,0,+41,0,0,0,0,1
10,user_10@proton.me,ES,2025-03-26 08:39:40+00:00,0,2025-09-24 03:12:08+00:00,,+34,0,+34,0,0,0,0,0
11,user_11@yahoo.fr,AT,2023-07-14 04:17:17+00:00,0,,8f42841e,+43,1,+43,0,0,0,0,1
12,user_12@outlook.com,DE,2024-06-25 06:05:17+00:00,0,2025-10-11 06:06:56+00:00,,+49,0,+49,0,0,0,0,0
13,user_13@yahoo.fr,,2023-02-04 17:48:27+00:00,0,2024-07-23 10:45:54+00:00,,,0,,1,0,0,0,0
14,user_14@proton.me,ES,2021-03-26 17:23:00+00:00,0,2022-04-29 14:56:42+00:00,,+34,0,+34,0,0,0,0,0
15,user_15@free.fr,FR,2021-11-15 22:54:00+00:00,0,2024-07-11 10:09:42+00:00,0f67a2d4,+33,0,+33,0,0,0,0,1
16,user_16@gmail.com,IT,2020-03-23 08:11:17+00:00,1,2020-10-29 21:48:58+00:00,ea346a31,+39,0,+39,0,0,0,0,1
17,user_17@hotmail.com,DE,2025-08-01 04:03:33+00:00,0,2026-03-31 17:25:22+00:00,,+49,0,+49,0,0,0,0,0
18,user_18@gmail.com,FR,2020-08-16 07:17:46+00:00,99,2026-03-08 12:28:06+00:00,59e8dff8,+33,0,+33,0,0,1,0,1
19,user_19@gmail.com,AT,2024-02-06 08:02:00+00:00,4,2025-02-28 09:30:30+00:00,,+43,0,+43,0,0,0,0,0
20,user_20@hotmail.com,IT,2022-03-05 09:43:00+00:00,0,2022-11-18 18:15:35+00:00,,+39,0,+39,0,0,0,0,0
21,user_21@free.fr,DE,2024-01-13 15:52:59+00:00,0,2025-03-31 18:44:42+00:00,,+49,0,+49,0,0,0,0,0
22,user_22@gmail.com,FR,2024-10-10 13:00:17+00:00,1,2024-11-26 21:20:10+00:00,,+33,0,+33,0,0,0,0,0
23,user_23@free.fr,ES,2021-09-29 08:06:49+00:00,0,2022-04-30 05:26:03+00:00,,+34,0,+34,0,0,0,0,0
24,user_24@outlook.com,,2023-09-24 11:40:30+00:00,0,2026-03-19 04:33:18+00:00,7fedd92a,,0,,1,0,0,0,1
25,user_25@proton.me,DE,2020-03-29 22:36:39+00:00,0,2024-02-21 18:51:21+00:00,,+49,0,+49,0,0,0,0,0
26,user_26@proton.me,FR,2023-04-23 01:56:13+00:00,0,2024-07-08 19:02:13+00:00,,+33,0,+33,0,0,0,1,0
27,user_27@gmail.com,FR,2021-01-16 19:58:09+00:00,0,2022-03-10 01:26:25+00:00,78bbc496,+33,0,+33,0,0,0,0,1
28,user_28@gmail.com,DE,2022-04-20 04:57:27+00:00,4,2026-02-24 14:20:53+00:00,caece60a,+49,0,+49,0,0,0,0,1
29,user_29@gmail.com,,2023-10-20 18:38:52+00:00,0,2026-03-10 02:46:17+00:00,,,0,,1,0,0,0,0
30,user_30@gmail.com,,2022-10-14 17:24:30+00:00,4,2024-05-03 04:36:07+00:00,,,0,,1,0,0,0,0
31,user_31@yahoo.fr,,2021-06-24 04:19:55+00:00,3,2023-06-29 16:44:47+00:00,,,0,,1,0,0,0,0
32,user_32@free.fr,DE,2022-11-04 00:41:26+00:00,0,2023-05-30 11:55:42+00:00,,+49,0,+49,0,0,0,0,0
33,user_33@yahoo.fr,PT,2022-02-06 02:44:00+00:00,0,2023-01-18 09:56:31+00:00,,+351,0,+351,0,0,0,0,0
34,user_34@gmail.com,,2024-09-21 23:08:34+00:00,4,2025-06-06 04:13:25+00:00,131bad5c,,0,,1,0,0,0,1
35,user_35@proton.me,IT,2023-02-13 19:53:11+00:00,0,2023-11-16 19:53:11+00:00,,+39,0,+39,0,0,0,0,0
36,user_36@free.fr,,2021-03-11 04:00:15+00:00,0,2024-12-08 18:19:32+00:00,,,0,,1,0,0,0,0
37,user_37@proton.me,ES,2022-09-12 09:57:36+00:00,1,2024-08-25 12:32:01+00:00,41d44f30,+34,0,+34,0,0,0,0,1
38,user_38@hotmail.com,DE,2020-02-03 06:16:08+00:00,0,2022-10-02 08:49:39+00:00,6e1e706e,+49,0,+49,0,0,0,0,1
39,user_39@free.fr,FR,2021-10-08 05:06:26+00:00,0,2022-04-30 15:55:14+00:00,,+33,0,+33,0,0,0,0,0
40,user_40@hotmail.com,FR,2021-01-06 19:30:28+00:00,0,2021-08-16 16:47:48+00:00,c932fd6e,+33,0,+33,0,0,0,0,1
41,user_41@yahoo.fr,ES,2020-03-18 05:27:04+00:00,2,2021-02-12 09:10:33+00:00,,+34,0,+34,0,0,0,0,0
42,user_42@proton.me,FR,2021-04-19 06:29:02+00:00,1,2025-04-01 20:47:41+00:00,,+33,0,+33,0,0,0,0,0
43,user_43@hotmail.com,AT,2023-12-16 09:43:42+00:00,1,2024-08-19 15:33:54+00:00,,+43,0,+43,0,0,0,0,0
44,user_44@outlook.com,IT,2022-02-07 03:28:10+00:00,0,2024-05-15 11:06:30+00:00,242adfc0,+39,0,+39,0,0,0,0,1
45,user_45@hotmail.com,PT,2023-10-09 22:47:33+00:00,0,2025-06-05 03:11:54+00:00,,+351,0,+351,0,0,0,0,0
46,user_46@outlook.com,DE,2024-03-21 22:11:00+00:00,4,2024-03-26 12:05:51+00:00,,+49,0,+49,0,0,0,0,0
47,user_47@hotmail.com,AT,2022-01-15 04:33:24+00:00,0,2024-02-12 15:04:15+00:00,17c3a6b5,+43,0,+43,0,0,0,0,1
48,user_48@proton.me,FR,2024-09-15 11:08:41+00:00,4,2024-10-06 09:50:08+00:00,ae179e98,+33,0,+33,0,0,0,0,1
49,user_49@outlook.com,DE,2023-01-13 13:51:53+00:00,4,2026-04-10 02:33:54+00:00,,+49,0,+49,0,0,0,0,0
50,user_50@free.fr,FR,2022-01-26 15:12:00+00:00,0,2024-11-01 14:20:41+00:00,975fd1cf,+33,0,+33,0,0,0,0,1
51,user_51@outlook.com,ES,2022-01-07 04:36:51+00:00,1,2025-12-22 00:03:40+00:00,d1ad325c,+34,0,+34,0,0,0,0,1
52,user_52@free.fr,IT,2025-01-22 22:30:56+00:00,0,2025-11-10 10:44:39+00:00,,+39,0,+39,0,0,0,0,0
53,user_53@proton.me,DE,2025-09-04 09:56:05+00:00,0,2026-02-16 05:59:58+00:00,,+49,0,+49,0,0,0,0,0
54,user_54@outlook.com,FR,2024-02-05 00:05:18+00:00,0,2024-07-22 23:28:31+00:00,,+33,0,+33,0,0,0,0,0
55,user_55@hotmail.com,AT,2025-05-27 13:45:12+00:00,4,2026-04-06 10:42:57+00:00,,+43,0,+43,0,0,0,0,0
56,user_56@proton.me,FR,2023-12-31 14:14:00+00:00,1,2025-01-13 10:07:16+00:00,,+33,0,+33,0,0,0,0,0
57,user_57@free.fr,,2023-01-22 09:30:12+00:00,4,2024-03-31 19:55:38+00:00,,,0,,1,0,0,0,0
58,user_58@hotmail.com,DE,2024-03-19 04:04:30+00:00,1,2025-08-02 20:34:39+00:00,,+49,0,+49,0,0,0,0,0
59,user_59@free.fr,CH,2024-05-09 12:24:31+00:00,0,2025-05-30 12:30:39+00:00,49cbd5b0,+41,0,+41,0,0,0,0,1
